,subject,OE,TH,OE_TH,TW,PR,OR,TOT,CRD,GRD,PTS1,PTS2
1038,214446,--,--,--,015/025,022/050,--,60,01,A,08,08
1039,214448,--,--,--,015/025,030/050,--,80,01,O,10,10
1040,214449,--,--,--,020/025,--,--,PP,00,P,00,00
1041,202054A,--,--,--,PP,--,--,63,04,A,08,32
1042,214441,041/050,022/050,063/100,--,--,--,62,04,A,08,32
1043,214442,038/050,024/050,062/100,--,--,--,57,04,B+,07,28
1044,214443,035/050,022/050,057/100,--,--,--,53,04,B,06,24
1045,214444,028/050,025/050,053/100,--,--,--,59,04,B+,07,28
1046,214445,031/050,028/050,059/100,--,--,--,62,01,A,08,08
1047,214446,--,--,--,021/025,026/050,--,78,02,A+,09,18
1048,214447,--,--,--,021/025,038/050,--,82,01,O,10,10
1049,214448,--,--,--,022/025,040/050,--,80,01,O,10,10
1050,214449,--,--,--,020/025,--,--,PP,00,P,00,00
1051,202054A,--,--,--,PP,--,--,PP,00,P,00,00
1052,210250,--,--,--,PP,--,--,44,04,P,04,16
1053,214444,024/050,020/050,044/100,--,--,--,42,04,P,04,16
1054,214445,022/050,020/050,042/100,--,--,--,62,02,A,08,16
1055,214447,--,--,--,014/025,033/050,--,46,01,C,05,05
1056,214448,--,--,--,014/025,021/050,--,60,01,A,08,08
1057,214449,--,--,--,015/025,--,--,42,04,P,04,16
1058,207003,022/050,020/050,042/100,--,--,--,60,01,A,08,08
1059,207003,--,--,--,015/025,--,--,68,01,A,08,08
1060,214455,--,--,--,015/025,20,--,PP,00,P,00,00
1061,214456,--,--,--,016/025,035/050,--,47,04,C,05,20
1062,214458,--,--,--,PP,--,--,53,04,B,06,24
1063,214442,025/050,022/050,047/100,--,--,--,56,04,B+,07,28
1064,214443,026/050,027/050,053/100,--,--,--,60,04,A,08,32
1065,214444,025/050,031/050,056/100,--,--,--,53,01,B,06,06
1066,214445,025/050,035/050,060/100,--,--,--,73,02,A+,09,18
1067,214446,--,--,--,019/025,021/050,--,56,01,B+,07,07
1068,214447,--,--,--,019/025,036/050,--,68,01,A,08,08
1069,214448,--,--,--,018/025,024/050,--,PP,00,P,00,00
1070,214449,--,--,--,017/025,--,--,68,04,A,08,32
1071,202054A,--,--,--,PP,--,--,60,04,A,08,32
