,OE,OE,OE,TH,TH,TH,OE_TH,OE_TH,OE_TH,TW,TW,TW,PR,PR,PR,OR,OR,OR,TOT,TOT,TOT,CRD,CRD,CRD,GRD,GRD,GRD,PTS1,PTS1,PTS1,PTS2,PTS2,PTS2,OE,OE,OE,TH,TH,TH,OE_TH,OE_TH,OE_TH,TW,TW,TW,PR,PR,PR,OR,OR,OR,TOT,TOT,TOT,CRD,CRD,CRD,GRD,GRD,GRD,PTS1,PTS1,PTS1,PTS2,PTS2,PTS2,OE,OE,OE,TH,TH,TH,OE_TH,OE_TH,OE_TH,TW,TW,TW,PR,PR,PR,OR,OR,OR,TOT,TOT,TOT,CRD,CRD,CRD,GRD,GRD,GRD,PTS1,PTS1,PTS1,PTS2,PTS2,PTS2
144,034/050,027/050,032/050,038/050,029/050,033/050,072/100,056/100,065/100,--,--,--,--,--,--,--,--,--,72,56,65,4,4,4,A+,B+,A,9,7,8,36,28,32,034/050,027/050,032/050,038/050,029/050,033/050,072/100,056/100,065/100,--,--,--,--,--,--,--,--,--,72,56,65,4,4,4,A+,B+,A,9,7,8,36,28,32,034/050,027/050,032/050,038/050,029/050,033/050,072/100,056/100,065/100,--,--,--,--,--,--,--,--,--,72,56,65,4,4,4,A+,B+,A,9,7,8,36,28,32
145,034/050,028/050,026/050,025/050,016/050,014/050,059/100,044/100,040/100,--,--,--,--,--,--,--,--,--,59,FF,FF,4,4,4,B+,F,F,7,0,0,28,0,0,034/050,028/050,026/050,025/050,016/050,014/050,059/100,044/100,040/100,--,--,--,--,--,--,--,--,--,59,FF,FF,4,4,4,B+,F,F,7,0,0,28,0,0,034/050,028/050,026/050,025/050,016/050,014/050,059/100,044/100,040/100,--,--,--,--,--,--,--,--,--,59,FF,FF,4,4,4,B+,F,F,7,0,0,28,0,0
146,040/050,034/050,039/050,038/050,036/050,038/050,078/100,070/100,077/100,--,--,--,--,--,--,--,--,--,78,70,77,4,4,4,A+,A+,A+,9,9,9,36,36,36,040/050,034/050,039/050,038/050,036/050,038/050,078/100,070/100,077/100,--,--,--,--,--,--,--,--,--,78,70,77,4,4,4,A+,A+,A+,9,9,9,36,36,36,040/050,034/050,039/050,038/050,036/050,038/050,078/100,070/100,077/100,--,--,--,--,--,--,--,--,--,78,70,77,4,4,4,A+,A+,A+,9,9,9,36,36,36
147,017/050,014/050,028/050,003/050,006/050,013/050,020/100,020/100,041/100,--,--,--,--,--,--,--,--,--,FF,FF,FF,4,4,4,F,F,F,0,0,0,0,0,0,017/050,014/050,028/050,003/050,006/050,013/050,020/100,020/100,041/100,--,--,--,--,--,--,--,--,--,FF,FF,FF,4,4,4,F,F,F,0,0,0,0,0,0,017/050,014/050,028/050,003/050,006/050,013/050,020/100,020/100,041/100,--,--,--,--,--,--,--,--,--,FF,FF,FF,4,4,4,F,F,F,0,0,0,0,0,0
148,023/050,030/050,035/050,023/050,028/050,020/050,046/100,058/100,055/100,--,--,--,--,--,--,--,--,--,46,58,55,4,4,4,C,B+,B+,5,7,7,20,28,28,023/050,030/050,035/050,023/050,028/050,020/050,046/100,058/100,055/100,--,--,--,--,--,--,--,--,--,46,58,55,4,4,4,C,B+,B+,5,7,7,20,28,28,023/050,030/050,035/050,023/050,028/050,020/050,046/100,058/100,055/100,--,--,--,--,--,--,--,--,--,46,58,55,4,4,4,C,B+,B+,5,7,7,20,28,28
149,038/050,031/050,030/050,037/050,025/050,030/050,075/100,056/100,060/100,--,--,--,--,--,--,--,--,--,75,56,60,4,4,4,A+,B+,A,9,7,8,36,28,32,038/050,031/050,030/050,037/050,025/050,030/050,075/100,056/100,060/100,--,--,--,--,--,--,--,--,--,75,56,60,4,4,4,A+,B+,A,9,7,8,36,28,32,038/050,031/050,030/050,037/050,025/050,030/050,075/100,056/100,060/100,--,--,--,--,--,--,--,--,--,75,56,60,4,4,4,A+,B+,A,9,7,8,36,28,32
150,023/050,023/050,013/050,021/050,029/050,028/050,044/100,052/100,041/100,--,--,--,--,--,--,--,--,--,44,52,41,4,4,4,P,B,P,4,6,4,16,24,16,023/050,023/050,013/050,021/050,029/050,028/050,044/100,052/100,041/100,--,--,--,--,--,--,--,--,--,44,52,41,4,4,4,P,B,P,4,6,4,16,24,16,023/050,023/050,013/050,021/050,029/050,028/050,044/100,052/100,041/100,--,--,--,--,--,--,--,--,--,44,52,41,4,4,4,P,B,P,4,6,4,16,24,16
151,024/050,033/050,030/050,027/050,035/050,031/050,051/100,068/100,061/100,--,--,--,--,--,--,--,--,--,51,68,61,4,4,4,B,A,A,6,8,8,24,32,32,024/050,033/050,030/050,027/050,035/050,031/050,051/100,068/100,061/100,--,--,--,--,--,--,--,--,--,51,68,61,4,4,4,B,A,A,6,8,8,24,32,32,024/050,033/050,030/050,027/050,035/050,031/050,051/100,068/100,061/100,--,--,--,--,--,--,--,--,--,51,68,61,4,4,4,B,A,A,6,8,8,24,32,32
152,023/050,024/050,026/050,034/050,027/050,020/050,057/100,051/100,046/100,--,--,--,--,--,--,--,--,--,57,51,46,4,4,4,B+,B,C,7,6,5,28,24,20,023/050,024/050,026/050,034/050,027/050,020/050,057/100,051/100,046/100,--,--,--,--,--,--,--,--,--,57,51,46,4,4,4,B+,B,C,7,6,5,28,24,20,023/050,024/050,026/050,034/050,027/050,020/050,057/100,051/100,046/100,--,--,--,--,--,--,--,--,--,57,51,46,4,4,4,B+,B,C,7,6,5,28,24,20
153,032/050,022/050,030/050,030/050,020/050,022/050,062/100,042/100,052/100,--,--,--,--,--,--,--,--,--,62,42,52,4,4,4,A,P,B,8,4,6,32,16,24,032/050,022/050,030/050,030/050,020/050,022/050,062/100,042/100,052/100,--,--,--,--,--,--,--,--,--,62,42,52,4,4,4,A,P,B,8,4,6,32,16,24,032/050,022/050,030/050,030/050,020/050,022/050,062/100,042/100,052/100,--,--,--,--,--,--,--,--,--,62,42,52,4,4,4,A,P,B,8,4,6,32,16,24
154,025/050,020/050,025/050,036/050,021/050,024/050,061/100,041/100,049/100,--,--,--,--,--,--,--,--,--,61,41,49,4,4,4,A,P,C,8,4,5,32,16,20,025/050,020/050,025/050,036/050,021/050,024/050,061/100,041/100,049/100,--,--,--,--,--,--,--,--,--,61,41,49,4,4,4,A,P,C,8,4,5,32,16,20,025/050,020/050,025/050,036/050,021/050,024/050,061/100,041/100,049/100,--,--,--,--,--,--,--,--,--,61,41,49,4,4,4,A,P,C,8,4,5,32,16,20
155,021/050,023/050,023/050,009/050,006/050,021/050,030/100,029/100,044/100,--,--,--,--,--,--,--,--,--,FF,FF,44,4,4,4,F,F,P,0,0,4,0,0,16,021/050,023/050,023/050,009/050,006/050,021/050,030/100,029/100,044/100,--,--,--,--,--,--,--,--,--,FF,FF,44,4,4,4,F,F,P,0,0,4,0,0,16,021/050,023/050,023/050,009/050,006/050,021/050,030/100,029/100,044/100,--,--,--,--,--,--,--,--,--,FF,FF,44,4,4,4,F,F,P,0,0,4,0,0,16
156,028/050,042/050,026/050,024/050,020/050,029/050,052/100,062/100,055/100,--,--,--,--,--,--,--,--,--,52,62,55,4,4,4,B,A,B+,6,8,7,24,32,28,028/050,042/050,026/050,024/050,020/050,029/050,052/100,062/100,055/100,--,--,--,--,--,--,--,--,--,52,62,55,4,4,4,B,A,B+,6,8,7,24,32,28,028/050,042/050,026/050,024/050,020/050,029/050,052/100,062/100,055/100,--,--,--,--,--,--,--,--,--,52,62,55,4,4,4,B,A,B+,6,8,7,24,32,28
157,033/050,026/050,023/050,028/050,020/050,021/050,061/100,046/100,044/100,--,--,--,--,--,--,--,--,--,61,46,44,4,4,4,A,C,P,8,5,4,32,20,16,033/050,026/050,023/050,028/050,020/050,021/050,061/100,046/100,044/100,--,--,--,--,--,--,--,--,--,61,46,44,4,4,4,A,C,P,8,5,4,32,20,16,033/050,026/050,023/050,028/050,020/050,021/050,061/100,046/100,044/100,--,--,--,--,--,--,--,--,--,61,46,44,4,4,4,A,C,P,8,5,4,32,20,16
158,036/050,037/050,034/050,031/050,030/050,020/050,067/100,067/100,054/100,--,--,--,--,--,--,--,--,--,67,67,54,4,4,4,A,A,B,8,8,6,32,32,24,036/050,037/050,034/050,031/050,030/050,020/050,067/100,067/100,054/100,--,--,--,--,--,--,--,--,--,67,67,54,4,4,4,A,A,B,8,8,6,32,32,24,036/050,037/050,034/050,031/050,030/050,020/050,067/100,067/100,054/100,--,--,--,--,--,--,--,--,--,67,67,54,4,4,4,A,A,B,8,8,6,32,32,24
159,041/050,037/050,031/050,034/050,031/050,024/050,075/100,068/100,055/100,--,--,--,--,--,--,--,--,--,75,68,55,4,4,4,A+,A,B+,9,8,7,36,32,28,041/050,037/050,031/050,034/050,031/050,024/050,075/100,068/100,055/100,--,--,--,--,--,--,--,--,--,75,68,55,4,4,4,A+,A,B+,9,8,7,36,32,28,041/050,037/050,031/050,034/050,031/050,024/050,075/100,068/100,055/100,--,--,--,--,--,--,--,--,--,75,68,55,4,4,4,A+,A,B+,9,8,7,36,32,28
160,034/050,031/050,031/050,032/050,020/050,021/050,066/100,051/100,052/100,--,--,--,--,--,--,--,--,--,66,51,52,4,4,4,A,B,B,8,6,6,32,24,24,034/050,031/050,031/050,032/050,020/050,021/050,066/100,051/100,052/100,--,--,--,--,--,--,--,--,--,66,51,52,4,4,4,A,B,B,8,6,6,32,24,24,034/050,031/050,031/050,032/050,020/050,021/050,066/100,051/100,052/100,--,--,--,--,--,--,--,--,--,66,51,52,4,4,4,A,B,B,8,6,6,32,24,24
161,034/050,033/050,030/050,022/050,20$/050,023/050,056/100,053/100,053/100,--,--,--,--,--,--,--,--,--,56,53,53,4,4,4,B+,B,B,7,6,6,28,24,24,034/050,033/050,030/050,022/050,20$/050,023/050,056/100,053/100,053/100,--,--,--,--,--,--,--,--,--,56,53,53,4,4,4,B+,B,B,7,6,6,28,24,24,034/050,033/050,030/050,022/050,20$/050,023/050,056/100,053/100,053/100,--,--,--,--,--,--,--,--,--,56,53,53,4,4,4,B+,B,B,7,6,6,28,24,24
162,033/050,026/050,039/050,020/050,022/050,024/050,053/100,048/100,063/100,--,--,--,--,--,--,--,--,--,53,48,63,4,4,4,B,C,A,6,5,8,24,20,32,033/050,026/050,039/050,020/050,022/050,024/050,053/100,048/100,063/100,--,--,--,--,--,--,--,--,--,53,48,63,4,4,4,B,C,A,6,5,8,24,20,32,033/050,026/050,039/050,020/050,022/050,024/050,053/100,048/100,063/100,--,--,--,--,--,--,--,--,--,53,48,63,4,4,4,B,C,A,6,5,8,24,20,32
163,035/050,026/050,036/050,035/050,20$/050,026/050,070/100,046/100,062/100,--,--,--,--,--,--,--,--,--,70,46,62,4,4,4,A+,C,A,9,5,8,36,20,32,035/050,026/050,036/050,035/050,20$/050,026/050,070/100,046/100,062/100,--,--,--,--,--,--,--,--,--,70,46,62,4,4,4,A+,C,A,9,5,8,36,20,32,035/050,026/050,036/050,035/050,20$/050,026/050,070/100,046/100,062/100,--,--,--,--,--,--,--,--,--,70,46,62,4,4,4,A+,C,A,9,5,8,36,20,32
164,028/050,028/050,031/050,025/050,031/050,026/050,053/100,059/100,057/100,--,--,--,--,--,--,--,--,--,53,59,57,4,4,4,B,B+,B+,6,7,7,24,28,28,028/050,028/050,031/050,025/050,031/050,026/050,053/100,059/100,057/100,--,--,--,--,--,--,--,--,--,53,59,57,4,4,4,B,B+,B+,6,7,7,24,28,28,028/050,028/050,031/050,025/050,031/050,026/050,053/100,059/100,057/100,--,--,--,--,--,--,--,--,--,53,59,57,4,4,4,B,B+,B+,6,7,7,24,28,28
165,026/050,020/050,023/050,20$/050,020/050,030/050,046/100,040/100,053/100,--,--,--,--,--,--,--,--,--,46,40,53,4,4,4,C,P,B,5,4,6,20,16,24,026/050,020/050,023/050,20$/050,020/050,030/050,046/100,040/100,053/100,--,--,--,--,--,--,--,--,--,46,40,53,4,4,4,C,P,B,5,4,6,20,16,24,026/050,020/050,023/050,20$/050,020/050,030/050,046/100,040/100,053/100,--,--,--,--,--,--,--,--,--,46,40,53,4,4,4,C,P,B,5,4,6,20,16,24
166,016/050,027/050,034/050,24$/050,023/050,020/050,040/100,050/100,054/100,--,--,--,--,--,--,--,--,--,40,50,54,4,4,4,P,B,B,4,6,6,16,24,24,016/050,027/050,034/050,24$/050,023/050,020/050,040/100,050/100,054/100,--,--,--,--,--,--,--,--,--,40,50,54,4,4,4,P,B,B,4,6,6,16,24,24,016/050,027/050,034/050,24$/050,023/050,020/050,040/100,050/100,054/100,--,--,--,--,--,--,--,--,--,40,50,54,4,4,4,P,B,B,4,6,6,16,24,24
167,039/050,033/050,035/050,035/050,026/050,032/050,074/100,059/100,067/100,--,--,--,--,--,--,--,--,--,74,59,67,4,4,4,A+,B+,A,9,7,8,36,28,32,039/050,033/050,035/050,035/050,026/050,032/050,074/100,059/100,067/100,--,--,--,--,--,--,--,--,--,74,59,67,4,4,4,A+,B+,A,9,7,8,36,28,32,039/050,033/050,035/050,035/050,026/050,032/050,074/100,059/100,067/100,--,--,--,--,--,--,--,--,--,74,59,67,4,4,4,A+,B+,A,9,7,8,36,28,32
168,026/050,032/050,020/050,030/050,024/050,021/050,056/100,056/100,041/100,--,--,--,--,--,--,--,--,--,56,56,41,4,4,4,B+,B+,P,7,7,4,28,28,16,026/050,032/050,020/050,030/050,024/050,021/050,056/100,056/100,041/100,--,--,--,--,--,--,--,--,--,56,56,41,4,4,4,B+,B+,P,7,7,4,28,28,16,026/050,032/050,020/050,030/050,024/050,021/050,056/100,056/100,041/100,--,--,--,--,--,--,--,--,--,56,56,41,4,4,4,B+,B+,P,7,7,4,28,28,16
169,031/050,035/050,028/050,040/050,030/050,034/050,071/100,065/100,062/100,--,--,--,--,--,--,--,--,--,71,65,62,4,4,4,A+,A,A,9,8,8,36,32,32,031/050,035/050,028/050,040/050,030/050,034/050,071/100,065/100,062/100,--,--,--,--,--,--,--,--,--,71,65,62,4,4,4,A+,A,A,9,8,8,36,32,32,031/050,035/050,028/050,040/050,030/050,034/050,071/100,065/100,062/100,--,--,--,--,--,--,--,--,--,71,65,62,4,4,4,A+,A,A,9,8,8,36,32,32
170,025/050,015/050,024/050,024/050,025/050,021/050,049/100,040/100,045/100,--,--,--,--,--,--,--,--,--,49,40,45,4,4,4,C,P,C,5,4,5,20,16,20,025/050,015/050,024/050,024/050,025/050,021/050,049/100,040/100,045/100,--,--,--,--,--,--,--,--,--,49,40,45,4,4,4,C,P,C,5,4,5,20,16,20,025/050,015/050,024/050,024/050,025/050,021/050,049/100,040/100,045/100,--,--,--,--,--,--,--,--,--,49,40,45,4,4,4,C,P,C,5,4,5,20,16,20
171,030/050,016/050,022/050,20$/050,029/050,009/050,050/100,045/100,031/100,--,--,--,--,--,--,--,--,--,50,45,FF,4,4,4,B,C,F,6,5,0,24,20,0,030/050,016/050,022/050,20$/050,029/050,009/050,050/100,045/100,031/100,--,--,--,--,--,--,--,--,--,50,45,FF,4,4,4,B,C,F,6,5,0,24,20,0,030/050,016/050,022/050,20$/050,029/050,009/050,050/100,045/100,031/100,--,--,--,--,--,--,--,--,--,50,45,FF,4,4,4,B,C,F,6,5,0,24,20,0
172,032/050,032/050,038/050,028/050,026/050,028/050,060/100,058/100,066/100,--,--,--,--,--,--,--,--,--,60,58,66,4,4,4,A,B+,A,8,7,8,32,28,32,032/050,032/050,038/050,028/050,026/050,028/050,060/100,058/100,066/100,--,--,--,--,--,--,--,--,--,60,58,66,4,4,4,A,B+,A,8,7,8,32,28,32,032/050,032/050,038/050,028/050,026/050,028/050,060/100,058/100,066/100,--,--,--,--,--,--,--,--,--,60,58,66,4,4,4,A,B+,A,8,7,8,32,28,32
173,031/050,032/050,039/050,035/050,029/050,033/050,066/100,061/100,072/100,--,--,--,--,--,--,--,--,--,66,61,72,4,4,4,A,A,A+,8,8,9,32,32,36,031/050,032/050,039/050,035/050,029/050,033/050,066/100,061/100,072/100,--,--,--,--,--,--,--,--,--,66,61,72,4,4,4,A,A,A+,8,8,9,32,32,36,031/050,032/050,039/050,035/050,029/050,033/050,066/100,061/100,072/100,--,--,--,--,--,--,--,--,--,66,61,72,4,4,4,A,A,A+,8,8,9,32,32,36
174,036/050,034/050,035/050,047/050,031/050,033/050,083/100,065/100,068/100,--,--,--,--,--,--,--,--,--,83,65,68,4,4,4,O,A,A,10,8,8,40,32,32,036/050,034/050,035/050,047/050,031/050,033/050,083/100,065/100,068/100,--,--,--,--,--,--,--,--,--,83,65,68,4,4,4,O,A,A,10,8,8,40,32,32,036/050,034/050,035/050,047/050,031/050,033/050,083/100,065/100,068/100,--,--,--,--,--,--,--,--,--,83,65,68,4,4,4,O,A,A,10,8,8,40,32,32
175,022/050,030/050,028/050,022/050,024/050,021/050,044/100,054/100,049/100,--,--,--,--,--,--,--,--,--,44,54,49,4,4,4,P,B,C,4,6,5,16,24,20,022/050,030/050,028/050,022/050,024/050,021/050,044/100,054/100,049/100,--,--,--,--,--,--,--,--,--,44,54,49,4,4,4,P,B,C,4,6,5,16,24,20,022/050,030/050,028/050,022/050,024/050,021/050,044/100,054/100,049/100,--,--,--,--,--,--,--,--,--,44,54,49,4,4,4,P,B,C,4,6,5,16,24,20
176,033/050,020/050,033/050,024/050,022/050,022/050,057/100,042/100,055/100,--,--,--,--,--,--,--,--,--,57,42,55,4,4,4,B+,P,B+,7,4,7,28,16,28,033/050,020/050,033/050,024/050,022/050,022/050,057/100,042/100,055/100,--,--,--,--,--,--,--,--,--,57,42,55,4,4,4,B+,P,B+,7,4,7,28,16,28,033/050,020/050,033/050,024/050,022/050,022/050,057/100,042/100,055/100,--,--,--,--,--,--,--,--,--,57,42,55,4,4,4,B+,P,B+,7,4,7,28,16,28
177,027/050,034/050,027/050,020/050,024/050,031/050,047/100,058/100,058/100,--,--,--,--,--,--,--,--,--,47,58,58,4,4,4,C,B+,B+,5,7,7,20,28,28,027/050,034/050,027/050,020/050,024/050,031/050,047/100,058/100,058/100,--,--,--,--,--,--,--,--,--,47,58,58,4,4,4,C,B+,B+,5,7,7,20,28,28,027/050,034/050,027/050,020/050,024/050,031/050,047/100,058/100,058/100,--,--,--,--,--,--,--,--,--,47,58,58,4,4,4,C,B+,B+,5,7,7,20,28,28
178,031/050,035/050,025/050,035/050,025/050,031/050,066/100,060/100,056/100,--,--,--,--,--,--,--,--,--,66,60,56,4,4,4,A,A,B+,8,8,7,32,32,28,031/050,035/050,025/050,035/050,025/050,031/050,066/100,060/100,056/100,--,--,--,--,--,--,--,--,--,66,60,56,4,4,4,A,A,B+,8,8,7,32,32,28,031/050,035/050,025/050,035/050,025/050,031/050,066/100,060/100,056/100,--,--,--,--,--,--,--,--,--,66,60,56,4,4,4,A,A,B+,8,8,7,32,32,28
179,027/050,037/050,029/050,021/050,020/050,022/050,048/100,057/100,051/100,--,--,--,--,--,--,--,--,--,48,57,51,4,4,4,C,B+,B,5,7,6,20,28,24,027/050,037/050,029/050,021/050,020/050,022/050,048/100,057/100,051/100,--,--,--,--,--,--,--,--,--,48,57,51,4,4,4,C,B+,B,5,7,6,20,28,24,027/050,037/050,029/050,021/050,020/050,022/050,048/100,057/100,051/100,--,--,--,--,--,--,--,--,--,48,57,51,4,4,4,C,B+,B,5,7,6,20,28,24
180,026/050,030/050,035/050,023/050,020/050,025/050,049/100,050/100,060/100,--,--,--,--,--,--,--,--,--,49,50,60,4,4,4,C,B,A,5,6,8,20,24,32,026/050,030/050,035/050,023/050,020/050,025/050,049/100,050/100,060/100,--,--,--,--,--,--,--,--,--,49,50,60,4,4,4,C,B,A,5,6,8,20,24,32,026/050,030/050,035/050,023/050,020/050,025/050,049/100,050/100,060/100,--,--,--,--,--,--,--,--,--,49,50,60,4,4,4,C,B,A,5,6,8,20,24,32
181,021/050,019/050,017/050,021/050,21$/050,012/050,042/100,040/100,029/100,--,--,--,--,--,--,--,--,--,42,40,FF,4,4,4,P,P,F,4,4,0,16,16,0,021/050,019/050,017/050,021/050,21$/050,012/050,042/100,040/100,029/100,--,--,--,--,--,--,--,--,--,42,40,FF,4,4,4,P,P,F,4,4,0,16,16,0,021/050,019/050,017/050,021/050,21$/050,012/050,042/100,040/100,029/100,--,--,--,--,--,--,--,--,--,42,40,FF,4,4,4,P,P,F,4,4,0,16,16,0
182,039/050,031/050,035/050,023/050,024/050,028/050,062/100,055/100,063/100,--,--,--,--,--,--,--,--,--,62,55,63,4,4,4,A,B+,A,8,7,8,32,28,32,039/050,031/050,035/050,023/050,024/050,028/050,062/100,055/100,063/100,--,--,--,--,--,--,--,--,--,62,55,63,4,4,4,A,B+,A,8,7,8,32,28,32,039/050,031/050,035/050,023/050,024/050,028/050,062/100,055/100,063/100,--,--,--,--,--,--,--,--,--,62,55,63,4,4,4,A,B+,A,8,7,8,32,28,32
183,021/050,030/050,026/050,022/050,024/050,021/050,043/100,054/100,047/100,--,--,--,--,--,--,--,--,--,43,54,47,4,4,4,P,B,C,4,6,5,16,24,20,021/050,030/050,026/050,022/050,024/050,021/050,043/100,054/100,047/100,--,--,--,--,--,--,--,--,--,43,54,47,4,4,4,P,B,C,4,6,5,16,24,20,021/050,030/050,026/050,022/050,024/050,021/050,043/100,054/100,047/100,--,--,--,--,--,--,--,--,--,43,54,47,4,4,4,P,B,C,4,6,5,16,24,20
184,017/050,016/050,022/050,005/050,002/050,021/050,022/100,018/100,043/100,--,--,--,--,--,--,--,--,--,FF,FF,43,4,4,4,F,F,P,0,0,4,0,0,16,017/050,016/050,022/050,005/050,002/050,021/050,022/100,018/100,043/100,--,--,--,--,--,--,--,--,--,FF,FF,43,4,4,4,F,F,P,0,0,4,0,0,16,017/050,016/050,022/050,005/050,002/050,021/050,022/100,018/100,043/100,--,--,--,--,--,--,--,--,--,FF,FF,43,4,4,4,F,F,P,0,0,4,0,0,16
185,023/050,023/050,025/050,020/050,012/050,014/050,043/100,035/100,039/100,--,--,--,--,--,--,--,--,--,43,FF,FF,4,4,4,P,F,F,4,0,0,16,0,0,023/050,023/050,025/050,020/050,012/050,014/050,043/100,035/100,039/100,--,--,--,--,--,--,--,--,--,43,FF,FF,4,4,4,P,F,F,4,0,0,16,0,0,023/050,023/050,025/050,020/050,012/050,014/050,043/100,035/100,039/100,--,--,--,--,--,--,--,--,--,43,FF,FF,4,4,4,P,F,F,4,0,0,16,0,0
186,037/050,026/050,034/050,025/050,028/050,025/050,062/100,054/100,059/100,--,--,--,--,--,--,--,--,--,62,54,59,4,4,4,A,B,B+,8,6,7,32,24,28,037/050,026/050,034/050,025/050,028/050,025/050,062/100,054/100,059/100,--,--,--,--,--,--,--,--,--,62,54,59,4,4,4,A,B,B+,8,6,7,32,24,28,037/050,026/050,034/050,025/050,028/050,025/050,062/100,054/100,059/100,--,--,--,--,--,--,--,--,--,62,54,59,4,4,4,A,B,B+,8,6,7,32,24,28
187,022/050,027/050,027/050,027/050,021/050,020/050,049/100,048/100,047/100,--,--,--,--,--,--,--,--,--,49,48,47,4,4,4,C,C,C,5,5,5,20,20,20,022/050,027/050,027/050,027/050,021/050,020/050,049/100,048/100,047/100,--,--,--,--,--,--,--,--,--,49,48,47,4,4,4,C,C,C,5,5,5,20,20,20,022/050,027/050,027/050,027/050,021/050,020/050,049/100,048/100,047/100,--,--,--,--,--,--,--,--,--,49,48,47,4,4,4,C,C,C,5,5,5,20,20,20
188,022/050,022/050,023/050,021/050,022/050,022/050,043/100,044/100,045/100,--,--,--,--,--,--,--,--,--,43,44,45,4,4,4,P,P,C,4,4,5,16,16,20,022/050,022/050,023/050,021/050,022/050,022/050,043/100,044/100,045/100,--,--,--,--,--,--,--,--,--,43,44,45,4,4,4,P,P,C,4,4,5,16,16,20,022/050,022/050,023/050,021/050,022/050,022/050,043/100,044/100,045/100,--,--,--,--,--,--,--,--,--,43,44,45,4,4,4,P,P,C,4,4,5,16,16,20
189,035/050,034/050,033/050,023/050,028/050,034/050,058/100,062/100,067/100,--,--,--,--,--,--,--,--,--,58,62,67,4,4,4,B+,A,A,7,8,8,28,32,32,035/050,034/050,033/050,023/050,028/050,034/050,058/100,062/100,067/100,--,--,--,--,--,--,--,--,--,58,62,67,4,4,4,B+,A,A,7,8,8,28,32,32,035/050,034/050,033/050,023/050,028/050,034/050,058/100,062/100,067/100,--,--,--,--,--,--,--,--,--,58,62,67,4,4,4,B+,A,A,7,8,8,28,32,32
190,035/050,033/050,026/050,013/050,021/050,025/050,048/100,054/100,051/100,--,--,--,--,--,--,--,--,--,FF,54,51,4,4,4,F,B,B,0,6,6,0,24,24,035/050,033/050,026/050,013/050,021/050,025/050,048/100,054/100,051/100,--,--,--,--,--,--,--,--,--,FF,54,51,4,4,4,F,B,B,0,6,6,0,24,24,035/050,033/050,026/050,013/050,021/050,025/050,048/100,054/100,051/100,--,--,--,--,--,--,--,--,--,FF,54,51,4,4,4,F,B,B,0,6,6,0,24,24
191,029/050,023/050,029/050,021/050,020/050,033/050,050/100,043/100,062/100,--,--,--,--,--,--,--,--,--,50,43,62,4,4,4,B,P,A,6,4,8,24,16,32,029/050,023/050,029/050,021/050,020/050,033/050,050/100,043/100,062/100,--,--,--,--,--,--,--,--,--,50,43,62,4,4,4,B,P,A,6,4,8,24,16,32,029/050,023/050,029/050,021/050,020/050,033/050,050/100,043/100,062/100,--,--,--,--,--,--,--,--,--,50,43,62,4,4,4,B,P,A,6,4,8,24,16,32
192,020/050,026/050,021/050,033/050,028/050,029/050,053/100,054/100,050/100,--,--,--,--,--,--,--,--,--,53,54,50,4,4,4,B,B,B,6,6,6,24,24,24,020/050,026/050,021/050,033/050,028/050,029/050,053/100,054/100,050/100,--,--,--,--,--,--,--,--,--,53,54,50,4,4,4,B,B,B,6,6,6,24,24,24,020/050,026/050,021/050,033/050,028/050,029/050,053/100,054/100,050/100,--,--,--,--,--,--,--,--,--,53,54,50,4,4,4,B,B,B,6,6,6,24,24,24
193,035/050,022/050,030/050,025/050,020/050,20$/050,060/100,042/100,050/100,--,--,--,--,--,--,--,--,--,60,42,50,4,4,4,A,P,B,8,4,6,32,16,24,035/050,022/050,030/050,025/050,020/050,20$/050,060/100,042/100,050/100,--,--,--,--,--,--,--,--,--,60,42,50,4,4,4,A,P,B,8,4,6,32,16,24,035/050,022/050,030/050,025/050,020/050,20$/050,060/100,042/100,050/100,--,--,--,--,--,--,--,--,--,60,42,50,4,4,4,A,P,B,8,4,6,32,16,24
