,OE,OE,OE,TH,TH,TH,OE_TH,OE_TH,OE_TH,TW,TW,TW,PR,PR,PR,OR,OR,OR,TOT,TOT,TOT,CRD,CRD,CRD,GRD,GRD,GRD,PTS1,PTS1,PTS1,PTS2,PTS2,PTS2,OE,OE,OE,TH,TH,TH,OE_TH,OE_TH,OE_TH,TW,TW,TW,PR,PR,PR,OR,OR,OR,TOT,TOT,TOT,CRD,CRD,CRD,GRD,GRD,GRD,PTS1,PTS1,PTS1,PTS2,PTS2,PTS2,OE,OE,OE,TH,TH,TH,OE_TH,OE_TH,OE_TH,TW,TW,TW,PR,PR,PR,OR,OR,OR,TOT,TOT,TOT,CRD,CRD,CRD,GRD,GRD,GRD,PTS1,PTS1,PTS1,PTS2,PTS2,PTS2
30,026/050,019/050,018/050,022/050,021/050,22$/050,048/100,040/100,040/100,--,--,--,--,--,--,--,--,--,48,40,40,4,4,4,C,P,P,5,4,4,20,16,16,026/050,019/050,018/050,022/050,021/050,22$/050,048/100,040/100,040/100,--,--,--,--,--,--,--,--,--,48,40,40,4,4,4,C,P,P,5,4,4,20,16,16,026/050,019/050,018/050,022/050,021/050,22$/050,048/100,040/100,040/100,--,--,--,--,--,--,--,--,--,48,40,40,4,4,4,C,P,P,5,4,4,20,16,16
31,030/050,029/050,031/050,039/050,025/050,023/050,069/100,054/100,054/100,--,--,--,--,--,--,--,--,--,69,54,54,4,4,4,A,B,B,8,6,6,32,24,24,030/050,029/050,031/050,039/050,025/050,023/050,069/100,054/100,054/100,--,--,--,--,--,--,--,--,--,69,54,54,4,4,4,A,B,B,8,6,6,32,24,24,030/050,029/050,031/050,039/050,025/050,023/050,069/100,054/100,054/100,--,--,--,--,--,--,--,--,--,69,54,54,4,4,4,A,B,B,8,6,6,32,24,24
32,017/050,020/050,027/050,010/050,AB/050,AB/050,027/100,020/100,027/100,--,--,--,--,--,--,--,--,--,FF,FF,FF,4,4,4,F,F,F,0,0,0,0,0,0,017/050,020/050,027/050,010/050,AB/050,AB/050,027/100,020/100,027/100,--,--,--,--,--,--,--,--,--,FF,FF,FF,4,4,4,F,F,F,0,0,0,0,0,0,017/050,020/050,027/050,010/050,AB/050,AB/050,027/100,020/100,027/100,--,--,--,--,--,--,--,--,--,FF,FF,FF,4,4,4,F,F,F,0,0,0,0,0,0
33,032/050,014/050,024/050,022/050,AB/050,020/050,054/100,014/100,044/100,--,--,--,--,--,--,--,--,--,54,FF,44,4,4,4,B,F,P,6,0,4,24,0,16,032/050,014/050,024/050,022/050,AB/050,020/050,054/100,014/100,044/100,--,--,--,--,--,--,--,--,--,54,FF,44,4,4,4,B,F,P,6,0,4,24,0,16,032/050,014/050,024/050,022/050,AB/050,020/050,054/100,014/100,044/100,--,--,--,--,--,--,--,--,--,54,FF,44,4,4,4,B,F,P,6,0,4,24,0,16
34,044/050,034/050,038/050,020/050,035/050,029/050,064/100,069/100,067/100,--,--,--,--,--,--,--,--,--,64,69,67,4,4,4,A,A,A,8,8,8,32,32,32,044/050,034/050,038/050,020/050,035/050,029/050,064/100,069/100,067/100,--,--,--,--,--,--,--,--,--,64,69,67,4,4,4,A,A,A,8,8,8,32,32,32,044/050,034/050,038/050,020/050,035/050,029/050,064/100,069/100,067/100,--,--,--,--,--,--,--,--,--,64,69,67,4,4,4,A,A,A,8,8,8,32,32,32
35,027/050,026/050,030/050,033/050,031/050,026/050,060/100,057/100,056/100,--,--,--,--,--,--,--,--,--,60,57,56,4,4,4,A,B+,B+,8,7,7,32,28,28,027/050,026/050,030/050,033/050,031/050,026/050,060/100,057/100,056/100,--,--,--,--,--,--,--,--,--,60,57,56,4,4,4,A,B+,B+,8,7,7,32,28,28,027/050,026/050,030/050,033/050,031/050,026/050,060/100,057/100,056/100,--,--,--,--,--,--,--,--,--,60,57,56,4,4,4,A,B+,B+,8,7,7,32,28,28
36,036/050,039/050,033/050,024/050,028/050,022/050,060/100,067/100,055/100,--,--,--,--,--,--,--,--,--,60,67,55,4,4,4,A,A,B+,8,8,7,32,32,28,036/050,039/050,033/050,024/050,028/050,022/050,060/100,067/100,055/100,--,--,--,--,--,--,--,--,--,60,67,55,4,4,4,A,A,B+,8,8,7,32,32,28,036/050,039/050,033/050,024/050,028/050,022/050,060/100,067/100,055/100,--,--,--,--,--,--,--,--,--,60,67,55,4,4,4,A,A,B+,8,8,7,32,32,28
37,030/050,028/050,029/050,024/050,021/050,023/050,054/100,049/100,052/100,--,--,--,--,--,--,--,--,--,54,49,52,4,4,4,B,C,B,6,5,6,24,20,24,030/050,028/050,029/050,024/050,021/050,023/050,054/100,049/100,052/100,--,--,--,--,--,--,--,--,--,54,49,52,4,4,4,B,C,B,6,5,6,24,20,24,030/050,028/050,029/050,024/050,021/050,023/050,054/100,049/100,052/100,--,--,--,--,--,--,--,--,--,54,49,52,4,4,4,B,C,B,6,5,6,24,20,24
38,024/050,023/050,019/050,020/050,003/050,002/050,044/100,026/100,021/100,--,--,--,--,--,--,--,--,--,44,FF,FF,4,4,4,P,F,F,4,0,0,16,0,0,024/050,023/050,019/050,020/050,003/050,002/050,044/100,026/100,021/100,--,--,--,--,--,--,--,--,--,44,FF,FF,4,4,4,P,F,F,4,0,0,16,0,0,024/050,023/050,019/050,020/050,003/050,002/050,044/100,026/100,021/100,--,--,--,--,--,--,--,--,--,44,FF,FF,4,4,4,P,F,F,4,0,0,16,0,0
39,021/050,033/050,023/050,022/050,023/050,006/050,043/100,056/100,029/100,--,--,--,--,--,--,--,--,--,43,56,FF,4,4,4,P,B+,F,4,7,0,16,28,0,021/050,033/050,023/050,022/050,023/050,006/050,043/100,056/100,029/100,--,--,--,--,--,--,--,--,--,43,56,FF,4,4,4,P,B+,F,4,7,0,16,28,0,021/050,033/050,023/050,022/050,023/050,006/050,043/100,056/100,029/100,--,--,--,--,--,--,--,--,--,43,56,FF,4,4,4,P,B+,F,4,7,0,16,28,0
