,subject,OE,TH,OE_TH,TW,PR,OR,TOT,CRD,GRD,PTS1,PTS2
3076,214449,--,--,--,020/025,--,--,80,01,O,10,10
3077,207003,--,--,--,018/025,--,--,72,01,A+,09,09
3078,214450,023/050,027/050,050/100,--,--,--,50,03,B,06,18
3079,214451,022/050,021/050,043/100,--,--,--,43,04,P,04,16
3080,214452,022/050,031/050,053/100,--,--,--,53,04,B,06,24
3081,214453,034/050,036/050,070/100,--,--,--,70,04,A+,09,36
3082,214454,--,--,--,017/025,033/050,--,66,02,A,08,16
3083,214455,--,--,--,021/025,021/050,--,56,02,B+,07,14
3084,214456,--,--,--,022/025,021/050,--,57,01,B+,07,07
3085,214458,--,--,--,PP,--,--,PP,00,P,00,00
3086,214441,021/050,009/050,030/100,--,--,--,FF,04,F,00,00
3087,214442,023/050,006/050,029/100,--,--,--,FF,04,F,00,00
3088,214443,023/050,021/050,044/100,--,--,--,44,04,P,04,16
3089,214444,014/050,013/050,027/100,--,--,--,FF,04,F,00,00
3090,214445,021/050,022/050,043/100,--,--,--,43,04,P,04,16
3091,214446,--,--,--,019/025,029/050,--,64,01,A,08,08
3092,214447,--,--,--,018/025,027/050,--,60,02,A,08,16
3093,214448,--,--,--,018/025,031/050,--,65,01,A,08,08
3094,214449,--,--,--,021/025,--,--,84,01,O,10,10
3095,202054A,--,--,--,PP,--,--,PP,00,P,00,00
3096,207003,012/050,001/050,013/100,--,--,--,FF,04,F,00,00
3097,207003,--,--,--,018/025,--,--,72,01,A+,09,09
3098,214450,035/050,021/050,056/100,--,--,--,56,03,B+,07,21
3099,214451,022/050,000/050,022/100,--,--,--,FF,04,F,00,00
3100,214452,023/050,012/050,035/100,--,--,--,FF,04,F,00,00
3101,214453,021/050,010/050,031/100,--,--,--,FF,04,F,00,00
3102,214454,--,--,--,017/025,027/050,--,58,02,B+,07,14
3103,214455,--,--,--,017/025,030/050,--,62,02,A,08,16
3104,214456,--,--,--,017/025,039/050,--,74,01,A+,09,09
3105,210258C,--,--,--,PP,--,--,PP,00,P,00,00
3106,214441,028/050,024/050,052/100,--,--,--,52,04,B,06,24
3107,214442,042/050,020/050,062/100,--,--,--,62,04,A,08,32
3108,214443,026/050,029/050,055/100,--,--,--,55,04,B+,07,28
3109,214444,027/050,042/050,069/100,--,--,--,69,04,A,08,32
3110,214445,034/050,025/050,059/100,--,--,--,59,04,B+,07,28
3111,214446,--,--,--,023/025,038/050,--,81,01,O,10,10
3112,214447,--,--,--,023/025,038/050,--,81,02,O,10,20
3113,214448,--,--,--,024/025,046/050,--,93,01,O,10,10
3114,214449,--,--,--,023/025,--,--,92,01,O,10,10
3115,202054A,--,--,--,PP,--,--,PP,00,P,00,00
3116,207003,044/050,041/050,085/100,--,--,--,85,04,O,10,40
3117,207003,--,--,--,023/025,--,--,92,01,O,10,10
3118,214450,028/050,021/050,049/100,--,--,--,49,03,C,05,15
3119,214451,032/050,007/050,039/100,--,--,--,FF,04,F,00,00
3120,214452,041/050,032/050,073/100,--,--,--,73,04,A+,09,36
3121,214453,032/050,007/050,039/100,--,--,--,FF,04,F,00,00
3122,214454,--,--,--,023/025,045/050,--,90,02,O,10,20
3123,214455,--,--,--,023/025,045/050,--,90,02,O,10,20
3124,214456,--,--,--,023/025,042/050,--,86,01,O,10,10
3125,210258D,--,--,--,PP,--,--,PP,00,P,00,00
3126,214441,033/050,028/050,061/100,--,--,--,61,04,A,08,32
3127,214442,026/050,020/050,046/100,--,--,--,46,04,C,05,20
3128,214443,023/050,021/050,044/100,--,--,--,44,04,P,04,16
3129,214444,030/050,032/050,062/100,--,--,--,62,04,A,08,32
3130,214445,018/050,025/050,043/100,--,--,--,43,04,P,04,16
3131,214446,--,--,--,019/025,036/050,--,73,01,A+,09,09
3132,214447,--,--,--,019/025,023/050,--,56,02,B+,07,14
3133,214448,--,--,--,018/025,022/050,--,53,01,B,06,06
3134,214449,--,--,--,018/025,--,--,72,01,A+,09,09
3135,202054A,--,--,--,PP,--,--,PP,00,P,00,00
3136,207003,043/050,025/050,068/100,--,--,--,68,04,A,08,32
3137,207003,--,--,--,023/025,--,--,92,01,O,10,10
3138,214450,030/050,023/050,053/100,--,--,--,53,03,B,06,18
3139,214451,022/050,006/050,028/100,--,--,--,FF,04,F,00,00
3140,214452,026/050,024/050,050/100,--,--,--,50,04,B,06,24
3141,214453,029/050,021/050,050/100,--,--,--,50,04,B,06,24
3142,214454,--,--,--,020/025,035/050,--,73,02,A+,09,18
3143,214455,--,--,--,019/025,024/050,--,57,02,B+,07,14
3144,214456,--,--,--,020/025,041/050,--,81,01,O,10,10
3145,210258D,--,--,--,PP,--,--,PP,00,P,00,00
3146,214441,036/050,031/050,067/100,--,--,--,67,04,A,08,32
3147,214442,037/050,030/050,067/100,--,--,--,67,04,A,08,32
3148,214443,034/050,020/050,054/100,--,--,--,54,04,B,06,24
3149,214444,022/050,041/050,063/100,--,--,--,63,04,A,08,32
3150,214445,032/050,027/050,059/100,--,--,--,59,04,B+,07,28
3151,214446,--,--,--,022/025,037/050,--,78,01,A+,09,09
3152,214447,--,--,--,021/025,030/050,--,68,02,A,08,16
3153,214448,--,--,--,021/025,037/050,--,77,01,A+,09,09
3154,214449,--,--,--,018/025,--,--,72,01,A+,09,09
3155,202054A,--,--,--,PP,--,--,PP,00,P,00,00
3156,207003,035/050,021/050,056/100,--,--,--,56,04,B+,07,28
3157,207003,--,--,--,016/025,--,--,64,01,A,08,08
3158,214450,032/050,035/050,067/100,--,--,--,67,03,A,08,24
3159,214451,027/050,012/050,039/100,--,--,--,FF,04,F,00,00
3160,214452,031/050,022/050,053/100,--,--,--,53,04,B,06,24
3161,214453,035/050,027/050,062/100,--,--,--,62,04,A,08,32
3162,214454,--,--,--,021/025,021/050,--,56,02,B+,07,14
3163,214455,--,--,--,023/025,024/050,--,62,02,A,08,16
3164,214456,--,--,--,021/025,040/050,--,81,01,O,10,10
3165,210258D,--,--,--,PP,--,--,PP,00,P,00,00
3166,214441,041/050,034/050,075/100,--,--,--,75,04,A+,09,36
3167,214442,037/050,031/050,068/100,--,--,--,68,04,A,08,32
3168,214443,031/050,024/050,055/100,--,--,--,55,04,B+,07,28
3169,214444,033/050,042/050,075/100,--,--,--,75,04,A+,09,36
3170,214445,036/050,022/050,058/100,--,--,--,58,04,B+,07,28
3171,214446,--,--,--,021/025,026/050,--,62,01,A,08,08
3172,214447,--,--,--,021/025,038/050,--,78,02,A+,09,18
3173,214448,--,--,--,022/025,027/050,--,65,01,A,08,08
3174,214449,--,--,--,021/025,--,--,84,01,O,10,10
3175,202054A,--,--,--,PP,--,--,PP,00,P,00,00
3176,207003,035/050,20$/050,055/100,--,--,--,55,04,B,Nan,Nan
3177,207003,--,--,--,019/025,--,--,76,01,A+,09,09
3178,214450,040/050,030/050,070/100,--,--,--,70,03,A+,09,27
3179,214451,025/050,026/050,051/100,--,--,--,51,04,B,06,24
3180,214452,029/050,030/050,059/100,--,--,--,59,04,B+,07,28
3181,214453,020/050,036/050,056/100,--,--,--,56,04,B+,07,28
3182,214454,--,--,--,021/025,028/050,--,65,02,A,08,16
3183,214455,--,--,--,022/025,040/050,--,82,02,O,10,20
3184,214456,--,--,--,022/025,039/050,--,81,01,O,10,10
3185,210258A,--,--,--,PP,--,--,PP,00,P,00,00
3186,210250,--,--,--,PP,--,--,PP,00,P,00,00
3187,214441,034/050,032/050,066/100,--,--,--,66,04,A,08,32
3188,214442,031/050,020/050,051/100,--,--,--,51,04,B,06,24
3189,214443,031/050,021/050,052/100,--,--,--,52,04,B,06,24
3190,214444,026/050,020/050,046/100,--,--,--,46,04,C,05,20
3191,214445,030/050,022/050,052/100,--,--,--,52,04,B,06,24
3192,214446,--,--,--,019/025,022/050,--,54,01,B,06,06
3193,214447,--,--,--,017/025,032/050,--,65,02,A,08,16
3194,214448,--,--,--,017/025,032/050,--,65,01,A,08,08
3195,214449,--,--,--,018/025,--,--,72,01,A+,09,09
3196,207003,026/050,AB/050,026/100,--,--,--,FF,04,F,00,00
3197,207003,--,--,--,016/025,--,--,64,01,A,08,08
3198,214450,020/050,029/050,049/100,--,--,--,49,03,C,05,15
3199,214451,026/050,AB/050,026/100,--,--,--,FF,04,F,00,00
3200,214452,022/050,021/050,043/100,--,--,--,43,04,P,04,16
3201,214453,034/050,020/050,054/100,--,--,--,54,04,B,06,24
3202,214454,--,--,--,016/025,020/050,--,48,02,C,05,10
3203,214455,--,--,--,021/025,028/050,--,65,02,A,08,16
3204,214456,--,--,--,015/025,038/050,--,70,01,A+,09,09
3205,214458,--,--,--,PP,--,--,PP,00,P,00,00
3206,210250,--,--,--,PP,--,--,PP,00,P,00,00
3207,214441,034/050,022/050,056/100,--,--,--,56,04,B+,07,28
3208,214442,033/050,20$/050,053/100,--,--,--,53,04,B,06,24
3209,214443,030/050,023/050,053/100,--,--,--,53,04,B,06,24
3210,214444,026/050,027/050,053/100,--,--,--,53,04,B,06,24
3211,214445,026/050,020/050,046/100,--,--,--,46,04,C,05,20
3212,214446,--,--,--,019/025,AB/050,--,FF,01,F,00,00
3213,214447,--,--,--,018/025,035/050,--,70,02,A+,09,18
3214,214448,--,--,--,018/025,035/050,--,70,01,A+,09,09
3215,214449,--,--,--,019/025,--,--,76,01,A+,09,09
3216,207003,024/050,025/050,049/100,--,--,--,49,04,C,05,20
3217,207003,--,--,--,015/025,--,--,60,01,A,08,08
3218,214450,029/050,020/050,049/100,--,--,--,49,03,C,05,15
3219,214451,020/050,002/050,022/100,--,--,--,FF,04,F,00,00
3220,214452,023/050,024/050,047/100,--,--,--,47,04,C,05,20
3221,214453,026/050,011/050,037/100,--,--,--,FF,04,F,00,00
3222,214454,--,--,--,016/025,023/050,--,52,02,B,06,12
3223,214455,--,--,--,016/025,038/050,--,72,02,A+,09,18
3224,214456,--,--,--,015/025,042/050,--,76,01,A+,09,09
3225,214458,--,--,--,PP,--,--,PP,00,P,00,00
3226,214441,033/050,020/050,053/100,--,--,--,53,04,B,06,24
3227,214442,026/050,022/050,048/100,--,--,--,48,04,C,05,20
3228,214443,039/050,024/050,063/100,--,--,--,63,04,A,08,32
3229,214444,024/050,024/050,048/100,--,--,--,48,04,C,05,20
3230,214445,029/050,038/050,067/100,--,--,--,67,04,A,08,32
3231,214446,--,--,--,022/025,040/050,--,82,01,O,10,10
3232,214447,--,--,--,022/025,032/050,--,72,02,A+,09,18
3233,214448,--,--,--,021/025,043/050,--,85,01,O,10,10
3234,214449,--,--,--,023/025,--,--,92,01,O,10,10
3235,202054A,--,--,--,PP,--,--,PP,00,P,00,00
3236,207003,041/050,035/050,076/100,--,--,--,76,04,A+,09,36
3237,207003,--,--,--,023/025,--,--,92,01,O,10,10
3238,214450,026/050,027/050,053/100,--,--,--,53,03,B,06,18
3239,214451,021/050,010/050,031/100,--,--,--,FF,04,F,00,00
3240,214452,032/050,021/050,053/100,--,--,--,53,04,B,06,24
3241,214453,032/050,027/050,059/100,--,--,--,59,04,B+,07,28
3242,214454,--,--,--,020/025,032/050,--,69,02,A,08,16
3243,214455,--,--,--,019/025,022/050,--,54,02,B,06,12
3244,214456,--,--,--,018/025,041/050,--,78,01,A+,09,09
3245,210258A,--,--,--,PP,--,--,PP,00,P,00,00
3246,210250,--,--,--,PP,--,--,PP,00,P,00,00
